https://www.facebook.com/qcpeereducators/,A,T,C,,FACILITY NAME,ALT_FAC_NAME,UNIT NAME,CLASS,TYPE,REGION,PSGC_1,PROVINCE,PSGC_2,CITY/MUNICIPALITY,PSGC_3,BARANGAY,PSGC_4,STREET ADDRESS,UPDATED TEL NUMBER,Latitude,Longitude,EMAIL,SCHEDULE,WEBSITE,FB,COMMENTS,CONTRIBUTOR,SOURCE
,A,X,X,49,Bioscan Clinical Laboratory,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Caloocan City,,,,"Unit 9-J Teodoro St., 4th Ave. Grace Park",63 2 3616208,14.644,120.983,,,,https://www.facebook.com/Bioscan92/,,Mikko Tamura; Franklin Maraya,https://data.gov.ph/?q=dataset/hiv-testing-hospitals
,,,,50,Caloocan Social Hygiene Clinic,,,Gov,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Caloocan City,,,,Social Hygiene Clinic Physician Mabini St. Caloocan Health Department,63 2 2888811 loc. 2281; 63 9176018331,14.651,120.971,,,https://www.govserv.org/PH/Caloocan/1626906194249580/Social-Hygiene-Clinic---SHC-Caloocan,,,Carmela Magayanes,https://www.webbline.com/hiv-testing-centers/
,X,X,X,51,Centralle Medical ( Camarin Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Caloocan City,,Camarin,,"Units 5–7 Greeneco Bldg., Old Zabarte Road",63 2 8961717; 63 2 89616834,14.757,121.044,info@centrallemedical.com,Mo-Su 06:30-17:30,http://centrallemedical.com,,,Levin Daran,https://www.webbline.com/hiv-testing-centers/
,,,,52,Centralle Medical (Caloocan Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Caloocan City,,,,"G/F First AMIJI Mansion 6th Ave., Cor M.H. Del Pilar St., Caloocan City",63 2 83669068; 63 2 83301596; 63 2 83610106,14.646,120.985,info@centrallemedical.com,Mo-Sa 06:30-18:00; Su 07:00-12:00,http://centrallemedical.com/caloocan,,,Allen Motas; Carmela Magayanes,https://www.webbline.com/hiv-testing-centers/
Y,X,X,X,53,Dr. Jose N. Rodriguez Memorial Hospital,Tala Hospital,,Gov,Treatment Hub,NCR,,Metropolitan Manila,,Caloocan City,,,,"St. Joseph Avenue, Tala Caloocan",63 9455861281; 63 9209824758; 63 39253547547; 63 9174592984,14.767,121.065,drjnrmh2003@yahoo.com,Mo-Th 08:00-19:00,http://djnrmh.doh.gov.ph,https://www.facebook.com/officialtalahospital/,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf
,,,,54,Fatima University Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Caloocan City,,,,"120 MacArthur Highway, Valenzuela, 1440 Metro Manila",63 2 2916538; 63 9436850828,14.678,120.980,fumcwebemail@gmail.com,Mo-Su 08:00-17:00,https://www.fumc.com.ph,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals
,X,X,X,55,Manila Central University Hospital (MCU Hospital),,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Caloocan City,,,,"MCU Hospital, EDSA, Caloocan City",63 2 3672031to 45,14.658,120.987,customercare@mcuhospital.org,24/7,www.mcuhospital.org,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals
,X,X,X,56,Las Piñas City Medical Center and Laboratory,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Las Piñas City,,,,"#1314 Marcos Alvarez Ave. Talon V, Las Piñas City",63 2 8005695; 63 98000825,14.430,121.004,info@citymed.com.ph,,X,https://www.facebook.com/citymedph,,Mikko Tamura; Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals
X,A,X,X,57,Las Piñas City Social Hygiene Clinic,,,Gov,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Las Piñas City,,,,"Barrio Hall, Alabang-Zapote Road, Almansa, Las Piñas City",63 2 88178819; 63 2 8006406; 63 2 8739145; 63 9954364920,14.433,121.013,lpc.socialhygiene@gmail.com,Mo-Fr 08:00-16:00,X,https://www.facebook.com/pages/category/Medical-Center/Las-Pinas-Social-Hygiene-Clinic-101387847179813/,,Iosif,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf
,X,X,X,58,University of Perpetual Help Rizal Medical Center,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Las Piñas City,,,,"Alabang Zapote Road, Pamplona 3, Las Piñas City, 1740",63 2 8748515 loc. 221; 63 2 8737210,14.448,120.986,,,https://phmc.com.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals
